InChI,Cdk.KierHallSmarts.khs.ssS,Cdk.ChiCluster.VC-5,Cdk.AutocorrelationPolarizability.ATSp2,Cdk.KappaShapeIndices.Kier3,Cdk.AutocorrelationCharge.ATSc5,Cdk.PetitjeanShapeIndex.topoShape,Cdk.ChiCluster.SC-5,Cdk.CarbonTypes.C2SP2,Cdk.AutocorrelationPolarizability.ATSp3,Cdk.CarbonTypes.C1SP2,Cdk.CarbonTypes.C2SP3,Cdk.AutocorrelationPolarizability.ATSp4,Cdk.KierHallSmarts.khs.dO,Cdk.ChiPathCluster.SPC-4,Cdk.CarbonTypes.C1SP3,Cdk.WienerNumbers.WPATH,Cdk.MDE.MDEC-12,Cdk.MDE.MDEC-33,Cdk.AutocorrelationPolarizability.ATSp5,Cdk.ChiPathCluster.SPC-5,Cdk.MDE.MDEC-13,Cdk.ChiPathCluster.SPC-6,Cdk.ChiChain.SCH-5,Cdk.KierHallSmarts.khs.dsN,Cdk.PetitjeanNumber.PetitjeanNumber,Cdk.ChiChain.SCH-6,Cdk.MDE.MDEO-11,Cdk.KierHallSmarts.khs.sssN,Cdk.ChiChain.SCH-7,Cdk.MDE.MDEN-22,Cdk.EccentricConnectivityIndex.ECCEN,Cdk.KierHallSmarts.khs.sOH,Cdk.MDE.MDEO-12,Cdk.ChiChain.VCH-5,Cdk.ChiPath.VP-0,Cdk.ChiPath.VP-1,Cdk.ChiChain.VCH-6,Cdk.AutocorrelationMass.ATSm1,Cdk.ChiPath.VP-2,Cdk.KierHallSmarts.khs.ssCH2,Cdk.ChiChain.VCH-7,Cdk.AutocorrelationMass.ATSm2,Cdk.ChiPath.VP-3,Cdk.TPSA.TopoPSA,Cdk.MDE.MDEC-22,Cdk.ChiPath.SP-3,Cdk.ChiPath.VP-4,Cdk.MDE.MDEC-23,Cdk.AutocorrelationMass.ATSm3,Cdk.ChiPath.VP-5,Cdk.KierHallSmarts.khs.sCl,Cdk.AutocorrelationMass.ATSm4,Cdk.ChiPath.SP-4,Cdk.ChiPath.VP-6,Cdk.KierHallSmarts.khs.ssO,Cdk.AutocorrelationMass.ATSm5,Cdk.PetitjeanShapeIndex.geomShape,Cdk.AutocorrelationCharge.ATSc1,Cdk.KierHallSmarts.khs.aaCH,Cdk.ChiPathCluster.VPC-4,Cdk.ChiPath.SP-5,Cdk.ChiPath.VP-7,Cdk.MDE.MDEO-22,Cdk.AutocorrelationCharge.ATSc2,Cdk.ChiPathCluster.VPC-5,Cdk.ChiPath.SP-6,Cdk.KappaShapeIndices.Kier1,Cdk.ChiPath.SP-7,Cdk.AutocorrelationCharge.ATSc3,Cdk.ChiCluster.VC-3,Cdk.ChiPathCluster.VPC-6,Cdk.FragmentComplexity.fragC,Cdk.KierHallSmarts.khs.dssC,Cdk.ChiCluster.VC-4,Cdk.ChiCluster.SC-3,Cdk.AutocorrelationPolarizability.ATSp1,Cdk.KierHallSmarts.khs.dsssP,Cdk.KappaShapeIndices.Kier2,Cdk.AutocorrelationCharge.ATSc4
"InChI=1S/C7H7NO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,8H2,(H,9,10)",0.0,0.03723241813360265,493.36479226562517,1.991111111111111,0.034843273152210384,0.6666666666666666,0.23230780835289197,5.0,616.5511033017578,1.0,0.0,511.9448622265628,1.0,1.4982668271404171,0.0,114.0,0.0,2.381101577952299,256.83332365039075,2.174558378851144,0.0,2.1337064482432555,0.0,0.0,0.4,0.08333333333333333,0.4999999999999999,0.0,0.13144585576580214,0.0,76.0,1.0,0.0,0.0,5.2422132319119505,2.7937563467663495,0.027777777777777776,11.908918372358373,1.8924030130578595,0.0,0.02992639636637849,10.830365887445573,1.191198502951144,63.32000000000001,3.965406456500188,3.0341299055894697,0.6917722459608004,5.553157574048103,14.771016856166966,0.3551561728204848,0.0,13.826913708071595,2.3353456821161305,0.1041948374876969,0.0,10.601473035843934,0.581841924398129,0.21501076465280702,4.0,0.37380344236355734,1.3417157626978662,0.031781583904406496,0.0,-0.10475073501365335,0.3877584497294666,0.5656411416862253,8.1,0.2405626121623441,0.02431792130603378,0.20114566344080037,0.3043983927053978,199.03,1.0,0.0,0.7051183572168035,449.8919722099611,0.0,3.408284023668639,-0.06146375671592071
"InChI=1S/C7H8N2O2/c1-5-2-3-6(9(10)11)4-7(5)8/h2-4H,8H2,1H3",0.0,0.060535122307467645,544.8227294951174,2.2145328719723185,-0.020877080327461408,1.0,0.3333333333333333,5.0,703.0523239240725,0.0,0.0,592.896499933594,2.0,2.1263013134660467,1.0,152.0,1.1447142425533319,1.6509636244473134,282.9618011464845,2.0206844343301853,1.5000000000000004,2.72215032854568,0.0,0.0,0.5,0.06804138174397717,0.4999999999999999,0.0,0.17536647355387364,0.0,99.0,0.0,0.0,0.0,6.0731112531861875,3.115464175727488,0.024056261216234408,13.268898673634855,2.298000745283315,0.0,0.04870343717792168,12.439287060494122,1.4736394621397955,71.84,1.6509636244473134,3.5815472962379307,0.7414378792272601,5.853800636117529,17.103380722527856,0.4799716316386971,0.0,16.159277574432487,2.1946853774700132,0.19537553720839673,0.0,10.020712076167628,0.539580416558042,0.07422274024235474,3.0,0.6073046805848707,1.7440546736666025,0.040241202723625386,0.0,-0.0023706097328228173,0.48767920350359284,0.9780956548790776,9.090909090909092,0.33628733311876546,-0.007942227943189868,0.33947429950572927,0.5215023417039405,251.04,0.0,0.0,0.9714045207910317,491.83358697802754,0.0,3.6,-0.027372021735270598
"InChI=1S/C7H9NO/c1-9-7-4-2-6(8)3-5-7/h2-5H,8H2,1H3",0.0,0.0,424.2125134985352,2.0,-0.026612023450592576,1.0,0.0,6.0,507.39493589648447,0.0,0.0,383.2103277070313,0.0,0.9010475702906076,0.0,90.0,1.1547005383792517,0.33333333333333337,151.57634872265626,0.9374437015703676,0.6324555320336759,1.0690355937288492,0.0,0.0,0.5,0.08333333333333333,0.0,0.0,0.1422588984322123,0.0,77.0,0.0,0.0,0.0,5.294999636411992,2.7224147753365258,0.027777777777777776,10.134449336817427,1.773159738960781,0.0,0.027377737768152464,9.830365887445573,1.1158019597397628,35.25,3.3019272488946267,2.7127787431041743,0.6039103909378556,5.656854249492381,11.99654782062602,0.36883102409803803,0.0,9.99654782062602,1.7373635395785567,0.13332289566814354,1.0,4.49827391031301,0.800348484555848,0.16584282029431957,4.0,0.25771991298692687,1.373773447853214,0.022680460581325723,0.0,-0.08942301120382982,0.22816216128961836,0.6868867239266071,7.111111111111111,0.11785113019775793,0.00474289419191018,0.1642664266089148,0.19415558230118063,252.02,0.0,0.0,0.49279927982674443,398.6353106975099,0.0,3.239669421487603,0.0009492339540068924
InChI=1S/C8Cl4N2/c9-5-3(1-13)6(10)8(12)7(11)4(5)2-14,0.0,0.30245096309274594,1238.884772550782,2.020408163265306,0.019433688588995565,0.5,0.5364919027495766,4.0,1739.904215007813,0.0,0.0,1806.1331195078124,0.0,3.3337865632152877,0.0,272.0,0.0,9.125465128398087,1119.2182686328126,5.442935126677314,0.0,7.341144974734531,0.0,0.0,0.3333333333333333,0.037037037037037035,0.0,0.0,0.20052642823604055,0.0,132.0,0.0,0.0,0.0,9.430000867110643,4.715000433555321,0.015625,45.57176023394808,3.741393635805343,0.0,0.0864933386892301,22.139446424113274,3.1923040691486446,47.58,0.25,5.302883188288278,1.8999259193287026,5.241482788417793,35.94652898186565,0.8894134361105471,4.0,64.51187522167648,4.020939685440346,0.43435647983217573,0.0,65.28340765531748,0.5729613144269483,0.3275857599197186,0.0,1.9576522613223195,2.2322433461352116,0.11242252033840672,0.0,-0.02176683098786649,2.62753508038659,1.3082382135251365,12.071428571428571,0.4384590666609049,-0.022469628204124906,0.6919467095138407,3.172492923169073,14.06,0.0,0.0,1.0419658858954097,1059.8268171035159,0.0,4.68,-0.16895069383829014
"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",0.0,0.0,395.7644514121095,1.8,-2.4476735731040225e-06,0.6666666666666666,0.0,5.0,444.30802898437514,0.0,1.0,321.83927719921894,0.0,0.49279927982674443,1.0,64.0,2.0041451295984074,0.0,118.68103018945317,0.5948613524427102,0.4999999999999999,0.4927992798267445,0.0,0.0,0.4,0.10206207261596577,0.0,0.0,0.07216878364870323,0.0,60.0,0.0,0.0,0.0,5.093858127134677,2.9713437743027806,0.032075014954979206,8.0,1.8391519502467626,1.0,0.022680460581325723,8.0,1.2510729525413513,0.0,7.732315986074721,2.302095140581215,0.7137128315712065,3.965406456500188,9.0,0.4071002733496682,0.0,7.0,1.5953879568423455,0.12392834129449004,0.0,3.0,0.8458324079016031,0.0012135745899406196,5.0,0.2539338936857123,1.1051717155225391,0.045360921162651446,0.0,-0.0002792685459643542,0.25393389368571223,0.348461712529338,6.125,0.14433756729740646,-0.00027864963183162896,0.11785113019775793,0.1692892624571415,268.0,0.0,0.0,0.20412414523193154,380.57916662304706,0.0,3.111111111111111,-4.6381209550515885e-05
"InChI=1S/C8H10N2O4S/c1-14-8(11)10-15(12,13)7-4-2-6(9)3-5-7/h2-5H,9H2,1H3,(H,10,11)",0.0,0.054244252990835726,1057.316052610207,3.8109640831758034,0.18255200327047538,0.8,0.348461712529338,6.0,1435.9088692950138,0.0,0.0,1296.742146056244,2.0,2.8615473100797293,0.0,378.0,0.6172133998483676,0.7937005259840998,993.5868890178835,3.8855308624011866,0.6962383250419169,4.5735972852513695,0.0,1.0,0.4444444444444444,0.08333333333333333,0.944940787421155,0.0,0.125,0.0,198.0,1.0,0.944940787421155,0.0,8.11791346970174,4.249001469933431,0.027777777777777776,24.945589783166756,3.022363981098062,0.0,0.03303723140421473,25.22467917663822,1.8743198006600232,110.36,3.3019272488946267,4.692511591817673,1.048568374615645,5.780954903993977,30.934869826813763,0.6556475688849316,0.0,31.607922818240645,3.2506661923612423,0.3089953060151512,1.0,25.928544213606468,0.7293736681591917,0.4468341677276372,4.0,0.6901761377225973,2.2457819157813605,0.10743453846277758,0.0,-0.3469903462454731,0.6880796666906764,1.4072970327327665,13.066666666666666,0.5412333734517709,0.2820697592122027,0.44739602240284637,0.6671049090631707,415.07,1.0,0.022807522979332223,1.772164652138982,945.834893108799,0.0,5.365079365079365,-0.2664790115148191
"InChI=1S/C8H10N6/c9-3-5-6(10)13-8(14-7(5)11)12-4-1-2-4/h4H,1-2H2,(H5,10,11,12,13,14)",0.0,0.033667195912175804,910.6493313511962,2.5344,0.22740922524916307,1.0,0.19245008972987526,0.0,1120.850724011963,2.0,3.0,1084.968600665039,0.0,1.9497672882699202,0.0,306.0,0.0,4.380935685657675,822.8345193100586,3.413977524719857,0.0,3.680288130793386,0.0,1.0,0.5,0.2222222222222222,0.0,0.0,0.34482914120676633,1.5000000000000004,178.0,0.0,0.0,0.0,7.463341291752263,4.310584200769659,0.08017472243679027,16.159881807658888,3.234358551547912,1.0,0.08004610221336744,16.495637398624016,1.6974856691518858,110.08,0.8198276497595954,4.418359752915192,1.0292313493677558,4.899797987874992,20.963175038645517,0.5636196704117931,0.0,21.658910930887135,3.7625122075964152,0.3054627884993645,0.0,21.07073237739055,0.9765479713014346,0.3259165888416091,0.0,0.512514700108834,2.167705052294009,0.15207267578147862,0.0,-0.16476812773764354,0.6021342435825093,1.6233266524491148,10.515555555555556,0.8506073657455262,0.14661908991363107,0.3821699279597785,0.54847942466737,443.06,4.0,0.0,1.0157355747428491,786.0274688538209,0.0,4.244897959183674,-0.3345170396600107
