InChI,Cdk.LargestPiSystem.nAtomP,Cdk.BondCount.nB,Cdk.LargestChain.nAtomLC,Cdk.AromaticAtomsCount.naAromAtom,Cdk.AromaticBondsCount.nAromBond,Cdk.ALOGP.ALogP,Cdk.RotatableBondsCount.nRotB,Cdk.MannholdLogP.MLogP,Cdk.XLogP.XLogP,Cdk.RuleOfFive.LipinskiFailures,Cdk.ALOGP.ALogp2,Cdk.ALOGP.AMR,Cdk.LongestAliphaticChain.nAtomLAC,Cdk.HBondDonorCount.nHBDon,Cdk.AtomCount.nAtom
"InChI=1S/C14H16N2O2/c1-17-13-7-9(3-5-11(13)15)10-4-6-12(16)14(8-10)18-2/h3-8H,15-16H2,1-2H3",16.0,19.0,2.0,12.0,12.0,-0.9750000000000014,3.0,2.56,0.882,0.0,0.9506250000000027,79.85800000000002,0.0,2.0,34.0
"InChI=1S/C14H19Cl2NO2/c15-8-10-17(11-9-16)13-6-4-12(5-7-13)2-1-3-14(18)19/h4-7H,1-3,8-11H2,(H,18,19)",7.0,19.0,7.0,6.0,6.0,1.8786000000000005,9.0,2.45,3.2110000000000003,0.0,3.5291379600000017,81.58689999999999,4.0,1.0,38.0
"InChI=1S/C14H19NO2/c1-17-14(16)13(11-7-3-2-4-8-11)12-9-5-6-10-15-12/h2-4,7-8,12-13,15H,5-6,9-10H2,1H3",6.0,18.0,5.0,6.0,6.0,-0.24890000000000073,4.0,2.67,2.3089999999999997,0.0,0.06195121000000037,65.4906,2.0,1.0,36.0
"InChI=1S/C14H7Br2NO2/c15-8-5-9(16)12(17)11-10(8)13(18)6-3-1-2-4-7(6)14(11)19/h1-5H,17H2",17.0,21.0,0.0,12.0,12.0,1.2055000000000002,0.0,2.45,1.8039999999999994,0.0,1.4532302500000005,86.3414,0.0,1.0,26.0
"InChI=1S/C14H7ClF3NO5/c15-10-5-7(14(16,17)18)1-4-12(10)24-8-2-3-11(19(22)23)9(6-8)13(20)21/h1-6H,(H,20,21)",19.0,25.0,3.0,12.0,12.0,2.1014999999999997,5.0,1.9,2.948,0.0,4.416302249999998,80.3295,0.0,1.0,31.0
"InChI=1S/C14H8O4/c15-9-5-1-3-7-11(9)14(18)12-8(13(7)17)4-2-6-10(12)16/h1-6,15-16H",18.0,20.0,0.0,12.0,12.0,0.3705999999999995,0.0,2.56,0.20599999999999996,0.0,0.1373443599999996,70.9342,0.0,2.0,26.0
"InChI=1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H",6.0,20.0,5.0,12.0,12.0,4.8069,3.0,2.45,4.056000000000001,0.0,23.10628761,93.4157,2.0,0.0,28.0
"InChI=1S/C14H9Cl5O/c15-11-5-1-9(2-6-11)13(20,14(17,18)19)10-3-7-12(16)8-4-10/h1-8,20H",6.0,21.0,6.0,12.0,12.0,4.096,3.0,2.34,3.365,0.0,16.777216,94.71039999999999,2.0,1.0,29.0
"InChI=1S/C14H9NO2/c15-8-5-6-11-12(7-8)14(17)10-4-2-1-3-9(10)13(11)16/h1-7H,15H2",17.0,19.0,0.0,12.0,12.0,0.3001000000000005,0.0,2.67,0.2979999999999996,0.0,0.09006001000000029,71.273,0.0,1.0,26.0
"InChI=1S/C15H11ClN2O2/c16-10-6-7-12-11(8-10)13(9-4-2-1-3-5-9)18-15(20)14(19)17-12/h1-8,15,20H,(H,17,19)",17.0,22.0,0.0,12.0,12.0,1.8275999999999994,1.0,2.5599999999999996,1.4830000000000003,0.0,3.340121759999998,84.3552,0.0,2.0,31.0
"InChI=1S/C15H11NO2/c1-8-6-7-11-12(13(8)16)15(18)10-5-3-2-4-9(10)14(11)17/h2-7H,16H2,1H3",17.0,20.0,0.0,12.0,12.0,0.7465000000000002,0.0,2.78,0.47899999999999987,0.0,0.5572622500000003,75.555,0.0,1.0,29.0
"InChI=1S/C15H12N2O2/c18-13-15(17-14(19)16-13,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,(H2,16,17,18,19)",6.0,21.0,0.0,12.0,12.0,1.8397000000000006,2.0,2.67,1.5540000000000005,0.0,3.384496090000002,78.52829999999999,0.0,2.0,31.0
"InChI=1S/C15H13NO/c1-10(17)16-13-6-7-15-12(9-13)8-11-4-2-3-5-14(11)15/h2-7,9H,8H2,1H3,(H,16,17)",15.0,19.0,4.0,12.0,12.0,1.9620999999999984,1.0,2.8899999999999997,2.597999999999999,0.0,3.8498364099999938,74.8607,2.0,1.0,30.0
"InChI=1S/C15H13NO2/c1-10(17)16(18)13-6-7-15-12(9-13)8-11-4-2-3-5-14(11)15/h2-7,9,18H,8H2,1H3",16.0,20.0,5.0,12.0,12.0,0.9485999999999982,2.0,2.78,1.7519999999999991,0.0,0.8998419599999966,76.39039999999999,2.0,1.0,31.0
"InChI=1S/C15H15N3O2/c1-10-3-8-15(20)14(9-10)18-17-13-6-4-12(5-7-13)16-11(2)19/h3-9,17H,1-2H3,(H,16,19)",18.0,21.0,4.0,6.0,6.0,0.8169,3.0,2.5599999999999996,1.7870000000000004,0.0,0.6673256099999999,83.53009999999999,2.0,2.0,35.0
"InChI=1S/C15H16N4O/c1-3-19-15-13(10(2)18-19)17-12(20)9-16-14(15)11-7-5-4-6-8-11/h4-8H,3,9H2,1-2H3,(H,17,20)",16.0,22.0,2.0,11.0,11.0,0.6632000000000013,2.0,2.5599999999999996,1.318,0.0,0.43983424000000176,83.2672,2.0,1.0,36.0
"InChI=1S/C15H23ClO4S/c1-12(20-21(17)19-10-9-16)11-18-14-7-5-13(6-8-14)15(2,3)4/h5-8,12H,9-11H2,1-4H3",7.0,21.0,11.0,6.0,6.0,2.4867,9.0,2.4499999999999997,2.3840000000000003,0.0,6.183676889999999,90.72370000000001,3.0,0.0,44.0
"InChI=1S/C15H24O/c1-10-8-11(14(2,3)4)13(16)12(9-10)15(5,6)7/h8-9,16H,1-7H3",7.0,16.0,4.0,6.0,6.0,4.007900000000001,2.0,3.0,4.46,0.0,16.06326241000001,72.6567,3.0,1.0,40.0
"InChI=1S/C15H9NO4/c1-8-6-7-11-12(13(8)16(19)20)15(18)10-5-3-2-4-9(10)14(11)17/h2-7H,1H3",19.0,22.0,2.0,12.0,12.0,1.4498000000000002,1.0,2.5599999999999996,1.1879999999999997,0.0,2.1019200400000004,74.21870000000001,0.0,0.0,29.0
"InChI=1S/C16H11N3O6/c1-18-8-12(16(21)22)14(20)11-6-3-9(17-15(11)18)2-4-10-5-7-13(25-10)19(23)24/h2-8H,1H3,(H,21,22)",24.0,27.0,2.0,11.0,11.0,0.5585999999999989,4.0,2.2299999999999995,1.287,0.0,0.3120339599999987,86.2402,2.0,1.0,36.0
"InChI=1S/C16H12N2O2/c19-15-13-7-3-1-5-11(13)9-17-16(20)14-8-4-2-6-12(14)10-18(15)17/h1-8H,9-10H2",18.0,23.0,0.0,12.0,12.0,0.7779999999999991,0.0,2.78,0.36400000000000077,0.0,0.6052839999999987,81.3386,0.0,0.0,32.0
"InChI=1S/C16H14Cl2O3/c1-2-21-15(19)16(20,11-3-7-13(17)8-4-11)12-5-9-14(18)10-6-12/h3-10,20H,2H2,1H3",6.0,22.0,7.0,12.0,12.0,2.6694000000000004,5.0,2.67,1.8210000000000006,0.0,7.125696360000003,90.05359999999999,2.0,1.0,35.0
"InChI=1S/C16H15NO2/c17-15-11-5-4-10-14(15)16(18)19-12-6-9-13-7-2-1-3-8-13/h1-11H,12,17H2",10.0,20.0,6.0,12.0,12.0,1.6072000000000002,5.0,2.8899999999999997,3.107999999999999,0.0,2.5830918400000007,84.34369999999998,3.0,1.0,34.0
"InChI=1S/C16H17NO2/c1-18-15-9-10-16(19-2)13(11-15)6-3-12-4-7-14(17)8-5-12/h3-11H,17H2,1-2H3",17.0,20.0,2.0,12.0,12.0,0.6894999999999993,4.0,2.8899999999999997,2.0680000000000005,0.0,0.4754102499999991,86.6268,2.0,1.0,36.0
"InChI=1S/C16H19ClN4O2S/c1-10-4-3-5-12(11(10)2)19-14-8-13(17)20-16(21-14)24-9-15(23)18-6-7-22/h3-5,8,22H,6-7,9H2,1-2H3,(H,18,23)(H,19,20,21)",13.0,25.0,8.0,6.0,6.0,2.4278000000000004,6.0,2.34,1.5460000000000003,0.0,5.894212840000002,100.8005,2.0,3.0,43.0
"InChI=1S/C16H22N4O3/c1-3-6-13-14(9-8-12(11(2)21)16(13)22)23-10-5-4-7-15-17-19-20-18-15/h8-9,22H,3-7,10H2,1-2H3,(H,17,18,19,20)",10.0,24.0,5.0,11.0,11.0,-1.6767,9.0,2.4499999999999997,3.446999999999999,0.0,2.8113228900000005,86.51140000000001,4.0,2.0,45.0
"InChI=1S/C17H13N3O3/c1-11-6-8-14(15(10-11)20(22)23)18-19-17-13-5-3-2-4-12(13)7-9-16(17)21/h2-10,18H,1H3",22.0,25.0,2.0,12.0,12.0,1.4930999999999999,3.0,2.67,3.911999999999999,0.0,2.2293476099999996,90.7872,0.0,1.0,36.0
"InChI=1S/C17H17ClO3/c1-17(2,16(19)20)21-11-12-3-5-13(6-4-12)14-7-9-15(18)10-8-14/h3-10H,11H2,1-2H3,(H,19,20)",12.0,22.0,8.0,12.0,12.0,2.8004999999999995,5.0,2.89,2.488,0.0,7.842800249999997,90.28609999999998,3.0,1.0,38.0
"InChI=1S/C17H17ClO3/c1-17(2,16(19)20-3)21-15-10-6-13(7-11-15)12-4-8-14(18)9-5-12/h4-11H,1-3H3",13.0,22.0,8.0,12.0,12.0,2.7887,5.0,2.89,2.9640000000000004,0.0,7.776847689999999,90.89079999999998,3.0,0.0,38.0
"InChI=1S/C17H20N2O/c1-18(2)15-9-5-13(6-10-15)17(20)14-7-11-16(12-8-14)19(3)4/h5-12H,1-4H3",16.0,21.0,3.0,12.0,12.0,1.6937999999999978,4.0,3.0,2.068,0.0,2.8689584399999926,92.0556,0.0,0.0,40.0
"InChI=1S/C17H21N3/c1-19(2)15-9-5-13(6-10-15)17(18)14-7-11-16(12-8-14)20(3)4/h5-12,18H,1-4H3",16.0,21.0,3.0,12.0,12.0,1.8519999999999979,4.0,3.0,2.474,0.0,3.429903999999992,93.3127,0.0,1.0,41.0
"InChI=1S/C17H22N2/c1-18(2)16-9-5-14(6-10-16)13-15-7-11-17(12-8-15)19(3)4/h5-12H,13H2,1-4H3",7.0,20.0,3.0,12.0,12.0,2.413799999999998,4.0,3.11,2.9760000000000004,0.0,5.82643043999999,91.31060000000001,0.0,0.0,41.0
"InChI=1S/C17H22N2O/c1-17(20-14-13-19(2)3,15-9-5-4-6-10-15)16-11-7-8-12-18-16/h4-12H,13-14H2,1-3H3",6.0,21.0,8.0,12.0,12.0,1.7972000000000001,6.0,3.0,1.3150000000000006,0.0,3.2299278400000007,90.5469,2.0,0.0,42.0
"InChI=1S/C18H12O6/c1-21-11-7-12-13(8-5-6-22-18(8)24-12)17-15(11)16(20)14-9(19)3-2-4-10(14)23-17/h2-8,18-19H,1H3",18.0,28.0,2.0,12.0,12.0,-1.1353000000000004,1.0,2.78,1.6520000000000001,0.0,1.288906090000001,90.22729999999999,0.0,1.0,36.0
"InChI=1S/C18H14N4O5S/c23-16-9-6-13(11-15(16)18(24)25)21-20-12-4-7-14(8-5-12)28(26,27)22-17-3-1-2-10-19-17/h1-11,20H,(H,19,22)(H,24,25)",28.0,30.0,4.0,12.0,12.0,-0.2324000000000001,6.0,2.34,0.5440000000000002,0.0,0.05400976000000005,108.56689999999999,0.0,3.0,42.0
"InChI=1S/C18H16N2O7S2/c1-10-3-6-15(11(2)7-10)19-20-17-14-9-13(28(22,23)24)5-4-12(14)8-16(18(17)21)29(25,26)27/h3-9,19H,1-2H3,(H,22,23,24)(H,25,26,27)",27.0,31.0,4.0,12.0,12.0,0.5630000000000005,4.0,2.23,-0.30600000000000066,0.0,0.31696900000000056,113.42500000000003,0.0,3.0,45.0
"InChI=1S/C18H20O2/c1-3-17(13-5-9-15(19)10-6-13)18(4-2)14-7-11-16(20)12-8-14/h5-12,19-20H,3-4H2,1-2H3",16.0,21.0,6.0,12.0,12.0,1.9798000000000002,4.0,3.2199999999999998,4.052,0.0,3.919608040000001,91.2618,6.0,2.0,40.0
"InChI=1S/C18H22ClNO/c1-16(15-21-18-10-6-3-7-11-18)20(13-12-19)14-17-8-4-2-5-9-17/h2-11,16H,12-15H2,1H3",7.0,22.0,9.0,12.0,12.0,2.815100000000001,8.0,3.11,3.4370000000000003,0.0,7.924788010000006,98.29729999999999,3.0,0.0,43.0
"InChI=1S/C18H22O5/c1-12-6-5-8-13(19)7-3-2-4-9-15-16(18(22)23-12)10-14(20)11-17(15)21/h4,9-12,20-21H,2-3,5-8H2,1H3",13.0,24.0,0.0,6.0,6.0,-0.5389999999999996,0.0,2.8899999999999997,2.4649999999999994,0.0,0.2905209999999996,85.2645,0.0,2.0,45.0
"InChI=1S/C18H23NO6/c1-3-12-8-11(2)18(23,10-20)17(22)24-9-13-4-6-19-7-5-14(15(13)19)25-16(12)21/h3-4,14-15,20,23H,2,5-10H2,1H3",5.0,27.0,2.0,0.0,0.0,0.2350999999999991,1.0,2.67,0.1379999999999998,0.0,0.05527200999999957,88.92739999999999,2.0,2.0,48.0
"InChI=1S/C18H27NO3/c1-14(2)8-6-4-5-7-9-18(21)19-13-15-10-11-16(20)17(12-15)22-3/h6,8,10-12,14,20H,4-5,7,9,13H2,1-3H3,(H,19,21)",8.0,22.0,13.0,6.0,6.0,0.6070000000000018,9.0,3.0,4.055,0.0,0.36844900000000214,90.39710000000001,9.0,2.0,49.0
"InChI=1S/C18H28O3S/c1-3-4-5-6-7-8-11-22(19)15(2)12-16-9-10-17-18(13-16)21-14-20-17/h9-10,13,15H,3-8,11-12,14H2,1-2H3",8.0,23.0,13.0,6.0,6.0,-2.111500000000001,10.0,3.0,4.0989999999999975,0.0,4.458432250000003,87.2709,8.0,0.0,50.0
"InChI=1S/C19H17N3/c20-16-7-1-13(2-8-16)19(14-3-9-17(21)10-4-14)15-5-11-18(22)12-6-15/h1-12,20H,21-22H2",22.0,24.0,0.0,12.0,12.0,0.7154000000000003,2.0,3.2199999999999998,1.8359999999999996,0.0,0.5117971600000004,101.53950000000002,0.0,3.0,39.0
"InChI=1S/C19H20N2O2/c1-2-3-14-17-18(22)20(15-10-6-4-7-11-15)21(19(17)23)16-12-8-5-9-13-16/h4-13,17H,2-3,14H2,1H3",18.0,25.0,4.0,12.0,12.0,0.22979999999999978,5.0,3.11,2.3700000000000006,0.0,0.052808039999999896,95.24530000000001,4.0,0.0,43.0
"InChI=1S/C19H30O5/c1-3-5-7-20-8-9-21-10-11-22-14-17-13-19-18(23-15-24-19)12-16(17)6-4-2/h12-13H,3-11,14-15H2,1-2H3",8.0,25.0,12.0,6.0,6.0,-1.2758,13.0,3.0,3.2809999999999997,1.0,1.62766564,93.1712,4.0,0.0,54.0
"InChI=1S/C20H14O4/c21-15-9-5-13(6-10-15)20(14-7-11-16(22)12-8-14)18-4-2-1-3-17(18)19(23)24-20/h1-12,21-22H",9.0,27.0,0.0,18.0,18.0,1.9255999999999986,2.0,3.22,1.613,0.0,3.7079353599999947,99.79269999999998,0.0,2.0,38.0
"InChI=1S/C20H16/c1-13-16-8-5-6-9-17(16)14(2)20-18(13)12-11-15-7-3-4-10-19(15)20/h3-12H,1-2H3",18.0,23.0,0.0,18.0,21.0,3.929400000000001,0.0,3.66,6.292000000000002,1.0,15.440184360000009,94.11080000000001,0.0,0.0,36.0
"InChI=1S/C20H18ClNO6/c1-10-7-12-14(21)9-13(17(23)16(12)20(27)28-10)18(24)22-15(19(25)26)8-11-5-3-2-4-6-11/h2-6,9-10,15,23H,7-8H2,1H3,(H,22,24)(H,25,26)",13.0,30.0,8.0,12.0,12.0,1.3861000000000008,5.0,2.7800000000000002,2.5159999999999987,0.0,1.921273210000002,107.69050000000001,3.0,3.0,46.0
"InChI=1S/C20H26O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,16-18,22H,4-12H2,2H3",2.0,25.0,2.0,0.0,0.0,1.009199999999996,0.0,3.44,2.479999999999999,0.0,1.018484639999992,85.4292,2.0,1.0,48.0
"InChI=1S/C20H28O6/c1-9-5-13-18(24,15(9)22)7-11(8-21)6-12-14-17(3,4)20(14,26)16(23)10(2)19(12,13)25/h5-6,10,12-14,16,21,23-26H,7-8H2,1-4H3",4.0,29.0,1.0,0.0,0.0,-1.1030999999999995,1.0,3.0,-1.0520000000000003,0.0,1.216829609999999,94.7273,0.0,5.0,54.0
"InChI=1S/C20H38N6O4/c1-12(2)9-16(24-14(5)28)19(30)26-17(10-13(3)4)18(29)25-15(11-27)7-6-8-23-20(21)22/h11-13,15-17H,6-10H2,1-5H3,(H,24,28)(H,25,29)(H,26,30)(H4,21,22,23)",4.0,29.0,30.0,0.0,0.0,-0.27550000000000363,15.0,2.56,2.7379999999999995,2.0,0.075900250000002,106.2902,5.0,6.0,68.0
"InChI=1S/C22H28O3/c1-4-22(25-14(2)23)12-10-20-19-7-5-15-13-16(24)6-8-17(15)18(19)9-11-21(20,22)3/h1,13,17-20H,5-12H2,2-3H3",4.0,28.0,4.0,0.0,0.0,1.3294999999999981,2.0,3.55,3.9839999999999995,0.0,1.767570249999995,93.5657,2.0,0.0,53.0
"InChI=1S/C22H42O4/c1-5-9-13-19(7-3)17-25-21(23)15-11-12-16-22(24)26-18-20(8-4)14-10-6-2/h19-20H,5-18H2,1-4H3",3.0,25.0,26.0,0.0,0.0,-2.2892000000000032,19.0,3.44,7.355999999999996,2.0,5.240436640000015,92.503,7.0,0.0,68.0
"InChI=1S/C23H36N2O2/c1-21(2,3)25-20(27)17-8-7-15-14-6-9-18-23(5,13-11-19(26)24-18)16(14)10-12-22(15,17)4/h11,13-18H,6-10,12H2,1-5H3,(H,24,26)(H,25,27)",5.0,30.0,7.0,0.0,0.0,1.890800000000003,2.0,3.55,5.310999999999998,1.0,3.575124640000011,105.40090000000001,3.0,2.0,63.0
"InChI=1S/C24H29ClO4/c1-12(26)24(29-13(2)27)8-6-16-14-10-20(25)19-11-21(28)15-9-18(15)23(19,4)17(14)5-7-22(16,24)3/h10-11,14-18H,5-9H2,1-4H3",6.0,33.0,4.0,0.0,0.0,1.2722999999999964,3.0,3.55,3.2819999999999996,0.0,1.6187472899999908,111.4383,2.0,0.0,58.0
"InChI=1S/C24H31Cl2N5O7/c1-2-14-21(35)30-16(10-32)22(36)29-15(12-6-4-3-5-7-12)8-18(34)27-17(11-33)24(38)31-9-13(25)19(26)20(31)23(37)28-14/h3-7,13-17,19-20,32-33H,2,8-11H2,1H3,(H,27,34)(H,28,37)(H,29,36)(H,30,35)",6.0,40.0,2.0,6.0,6.0,-0.24419999999999886,4.0,2.5599999999999996,-0.22400000000000003,2.0,0.05963363999999945,138.33079999999998,2.0,6.0,69.0
"InChI=1S/C24H34O9/c1-12(2)7-18(27)32-16-9-23(10-29-14(4)25)17(8-13(16)3)33-21-19(28)20(31-15(5)26)22(23,6)24(21)11-30-24/h8,12,16-17,19-21,28H,7,9-11H2,1-6H3",3.0,36.0,7.0,0.0,0.0,-0.04899999999999767,9.0,3.1099999999999994,1.6920000000000002,0.0,0.002400999999999772,113.26970000000001,4.0,1.0,67.0
"InChI=1S/C24H36O5/c1-5-15(3)24(27)29-21-11-14(2)10-17-7-6-16(4)20(23(17)21)9-8-19-12-18(25)13-22(26)28-19/h6-7,10,14-16,18-21,23,25H,5,8-9,11-13H2,1-4H3",4.0,31.0,7.0,0.0,0.0,-0.0992000000000004,7.0,3.55,4.573999999999997,0.0,0.00984064000000008,105.6455,4.0,1.0,65.0
"InChI=1S/C24H38O4/c1-5-9-13-19(7-3)17-27-23(25)21-15-11-12-16-22(21)24(26)28-18-20(8-4)14-10-6-2/h11-12,15-16,19-20H,5-10,13-14,17-18H2,1-4H3",12.0,28.0,11.0,6.0,6.0,-0.7706000000000002,16.0,3.6599999999999997,7.653999999999998,2.0,0.5938243600000003,106.09700000000002,7.0,0.0,66.0
"InChI=1S/C24H51O4P/c1-7-13-16-22(10-4)19-26-29(25,27-20-23(11-5)17-14-8-2)28-21-24(12-6)18-15-9-3/h22-24H,7-21H2,1-6H3",5.0,28.0,29.0,0.0,0.0,-2.499600000000001,21.0,3.55,9.372000000000003,2.0,6.248000160000005,108.50569999999999,7.0,0.0,80.0
"InChI=1S/C26H29NO/c1-4-25(21-11-7-5-8-12-21)26(22-13-9-6-10-14-22)23-15-17-24(18-16-23)28-20-19-27(2)3/h5-18H,4,19-20H2,1-3H3",21.0,30.0,6.0,18.0,18.0,3.6469999999999994,8.0,4.1000000000000005,6.3420000000000005,1.0,13.300608999999996,132.09859999999998,4.0,0.0,57.0
"InChI=1S/C26H34O6/c1-25(2,23(27)28)14-8-16-31-20-12-13-22(21(18-20)19-10-6-5-7-11-19)32-17-9-15-26(3,4)24(29)30/h5-7,10-13,18H,8-9,14-17H2,1-4H3,(H,27,28)(H,29,30)",14.0,33.0,10.0,12.0,12.0,2.134600000000003,13.0,3.66,4.420999999999998,1.0,4.556517160000013,128.0314,5.0,2.0,66.0
"InChI=1S/C27H44O6/c1-15(20(28)8-9-24(2,3)32)16-7-11-27(33)18-12-21(29)19-13-22(30)23(31)14-25(19,4)17(18)6-10-26(16,27)5/h12,15-17,19-20,22-23,28,30-33H,6-11,13-14H2,1-5H3",4.0,36.0,10.0,0.0,0.0,-0.7591000000000051,5.0,3.7699999999999996,1.9589999999999963,0.0,0.5762328100000077,124.11320000000002,7.0,5.0,77.0
"InChI=1S/C2Cl6/c3-1(4,5)2(6,7)8",0.0,7.0,8.0,0.0,0.0,3.3764,1.0,1.02,3.882,0.0,11.40007696,41.878,2.0,0.0,8.0
"InChI=1S/C2H2Cl2O2/c3-1(4)2(5)6/h1H,(H,5,6)",2.0,5.0,6.0,0.0,0.0,0.9651999999999998,1.0,1.24,0.571,0.0,0.9316110399999997,22.619500000000002,2.0,1.0,8.0
"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",0.0,5.0,6.0,0.0,0.0,2.4441,1.0,1.24,2.811,0.0,5.9736248100000005,31.266799999999996,2.0,0.0,8.0
"InChI=1S/C2H3Cl/c1-2-3/h2H,1H2",2.0,2.0,3.0,0.0,0.0,1.0020000000000002,0.0,1.5699999999999998,1.549,0.0,1.0040040000000003,14.7774,2.0,0.0,6.0
"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",0.0,4.0,5.0,0.0,0.0,1.9555,1.0,1.3499999999999999,2.158,0.0,3.82398025,25.709699999999998,2.0,0.0,8.0
"InChI=1S/C2H3Cl3O2/c3-2(4,5)1(6)7/h1,6-7H",0.0,6.0,7.0,0.0,0.0,0.8997999999999998,1.0,1.13,0.802,0.0,0.8096400399999997,29.2457,2.0,2.0,10.0
"InChI=1S/C2H3ClO/c3-1-2-4/h2H,1H2",1.0,3.0,4.0,0.0,0.0,0.3501000000000002,1.0,1.46,0.571,0.0,0.12257001000000013,16.4715,2.0,0.0,7.0
"InChI=1S/C2H3F/c1-2-3/h2H,1H2",2.0,2.0,3.0,0.0,0.0,0.5431000000000001,0.0,1.5699999999999998,1.088,0.0,0.29495761000000015,10.189,2.0,0.0,6.0
"InChI=1S/C2H4N2O2/c5-1-3-4-2-6/h1-2H,(H,3,5)(H,4,6)",6.0,5.0,6.0,0.0,0.0,-0.301,1.0,1.24,0.6679999999999999,0.0,0.09060099999999999,19.657600000000002,0.0,2.0,10.0
"InChI=1S/C2H4N4/c3-2-4-1-5-6-2/h1H,(H3,3,4,5,6)",6.0,6.0,0.0,0.0,0.0,-1.1499,0.0,1.24,-0.276,0.0,1.3222700099999998,18.5507,0.0,3.0,10.0
"InChI=1S/C2H5Br/c1-2-3/h2H2,1H3",0.0,2.0,3.0,0.0,0.0,1.2415000000000003,0.0,1.5699999999999998,1.736,0.0,1.5413222500000006,18.5896,2.0,0.0,8.0
"InChI=1S/C2H5BrO/c3-1-2-4/h4H,1-2H2",0.0,3.0,4.0,0.0,0.0,0.4517000000000001,1.0,1.46,0.6039999999999999,0.0,0.20403289000000008,20.5881,2.0,1.0,9.0
"InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3",0.0,2.0,3.0,0.0,0.0,1.0970000000000002,0.0,1.5699999999999998,1.3980000000000001,0.0,1.2034090000000004,15.606100000000001,2.0,0.0,8.0
"InChI=1S/C2H5N/c1-2-3-1/h3H,1-2H2",0.0,3.0,0.0,0.0,0.0,-0.3971999999999999,0.0,1.5699999999999998,-0.386,0.0,0.1577678399999999,12.724400000000001,0.0,1.0,8.0
"InChI=1S/C2H5N3O2/c1-5(4-7)2(3)6/h1H3,(H2,3,6)",6.0,6.0,7.0,0.0,0.0,0.4252999999999998,2.0,1.13,-0.14900000000000002,0.0,0.18088008999999983,22.8313,0.0,2.0,12.0
"InChI=1S/C2H5N5O3/c1-6(5-8)2(3)4-7(9)10/h1H3,(H2,3,4)",9.0,9.0,10.0,0.0,0.0,-0.01630000000000026,4.0,0.7999999999999999,0.47299999999999986,0.0,0.0002656900000000084,25.939300000000003,0.0,2.0,15.0
"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)",2.0,3.0,4.0,0.0,0.0,-0.07170000000000018,0.0,1.46,0.326,0.0,0.0051408900000000255,13.9008,2.0,2.0,9.0
"InChI=1S/C2H5NS/c1-2(3)4/h1H3,(H2,3,4)",1.0,3.0,4.0,0.0,0.0,0.5555999999999999,0.0,1.46,0.743,0.0,0.30869135999999986,20.3146,2.0,1.0,9.0
"InChI=1S/C2H6N2O/c1-2(5)4-3/h3H2,1H3,(H,4,5)",4.0,4.0,5.0,0.0,0.0,-0.6672000000000002,0.0,1.3499999999999999,-0.3970000000000001,0.0,0.4451558400000003,19.1849,2.0,2.0,11.0
"InChI=1S/C2H6N2O/c1-4(3)2-5/h2H,3H2,1H3",4.0,4.0,5.0,0.0,0.0,-1.1968999999999999,1.0,1.3499999999999999,-1.63,0.0,1.4325696099999996,19.774700000000003,0.0,1.0,11.0
"InChI=1S/C2H6O3S/c1-5-6(2,3)4/h1-2H3",4.0,5.0,6.0,0.0,0.0,-0.1882000000000003,1.0,1.24,-0.8690000000000001,0.0,0.035419240000000116,21.3852,0.0,0.0,12.0
"InChI=1S/C2H8N2/c1-2-4-3/h4H,2-3H2,1H3",2.0,3.0,4.0,0.0,0.0,-0.6631999999999998,1.0,1.46,-0.36700000000000005,0.0,0.4398342399999997,18.5746,2.0,2.0,12.0
"InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3",2.0,3.0,4.0,0.0,0.0,-0.6362000000000003,1.0,1.46,0.5840000000000001,0.0,0.40475044000000043,17.9934,0.0,2.0,12.0
"InChI=1S/C2H8N2/c1-4(2)3/h3H2,1-2H3",2.0,3.0,4.0,0.0,0.0,-0.3777000000000003,0.0,1.46,-1.3850000000000002,0.0,0.14265729000000024,19.575499999999998,0.0,1.0,12.0
"InChI=1S/C2H8N2O/c3-4-1-2-5/h4-5H,1-3H2",2.0,4.0,5.0,0.0,0.0,-1.4529999999999998,2.0,1.3499999999999999,-1.499,0.0,2.1112089999999997,20.573100000000004,2.0,3.0,13.0
"InChI=1S/C2HCl3O2/c3-2(4,5)1(6)7/h(H,6,7)",2.0,6.0,7.0,0.0,0.0,1.4484,1.0,1.13,1.03,0.0,2.09786256,28.158299999999997,2.0,1.0,8.0
"InChI=1S/C2HCl5/c3-1(4)2(5,6)7/h1H",0.0,6.0,7.0,0.0,0.0,2.8878,1.0,1.13,3.229,0.0,8.33938884,36.320899999999995,2.0,0.0,8.0
