InChI,Cdk.LargestPiSystem.nAtomP,Cdk.BondCount.nB,Cdk.LargestChain.nAtomLC,Cdk.AromaticAtomsCount.naAromAtom,Cdk.AromaticBondsCount.nAromBond,Cdk.ALOGP.ALogP,Cdk.RotatableBondsCount.nRotB,Cdk.MannholdLogP.MLogP,Cdk.XLogP.XLogP,Cdk.RuleOfFive.LipinskiFailures,Cdk.ALOGP.ALogp2,Cdk.ALOGP.AMR,Cdk.LongestAliphaticChain.nAtomLAC,Cdk.HBondDonorCount.nHBDon,Cdk.AtomCount.nAtom
"InChI=1S/C10H9N/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7H,11H2",11.0,12.0,0.0,10.0,11.0,0.7511000000000003,0.0,2.45,1.6769999999999998,0.0,0.5641512100000005,52.702600000000004,0.0,1.0,20.0
"InChI=1S/C10H9N/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,11H2",11.0,12.0,0.0,10.0,11.0,0.7511000000000003,0.0,2.45,1.4660000000000002,0.0,0.5641512100000005,52.702600000000004,0.0,1.0,20.0
"InChI=1S/C11H10N4/c1-15-9-5-4-8-7(3-2-6-13-8)10(9)14-11(15)12/h2-6H,1H3,(H2,12,14)",14.0,17.0,0.0,10.0,11.0,-0.1729000000000001,0.0,2.23,1.7429999999999999,0.0,0.029894410000000038,62.409699999999994,0.0,2.0,25.0
"InChI=1S/C11H10N4/c1-7-3-2-6-15-10(7)13-8-4-5-9(12)14-11(8)15/h2-6H,1H3,(H2,12,14)",14.0,17.0,0.0,5.0,5.0,0.2991999999999992,0.0,2.23,1.9440000000000002,0.0,0.08952063999999951,59.4887,0.0,2.0,25.0
"InChI=1S/C11H11N3O3/c12-10(15)6-9-11(16)17-13-14(9)7-8-4-2-1-3-5-8/h1-5H,6-7H2,(H2-,12,13,15,16)/p+1",6.0,18.0,4.0,11.0,11.0,0.9960999999999993,4.0,2.01,1.5230000000000004,0.0,0.9922152099999987,64.6526,2.0,3.0,29.0
"InChI=1S/C11H11N5/c1-6-5-13-7-3-4-8-10(9(7)14-6)15-11(12)16(8)2/h3-5H,1-2H3,(H2,12,15)",14.0,18.0,0.0,10.0,11.0,-0.32040000000000013,0.0,2.12,1.4729999999999999,0.0,0.10265616000000008,64.72829999999999,0.0,2.0,27.0
"InChI=1S/C11H11N5/c12-10-7-6-9(11(13)14-10)16-15-8-4-2-1-3-5-8/h1-7H,(H4,12,13,14)",16.0,17.0,2.0,6.0,6.0,0.12149999999999914,2.0,2.12,2.3820000000000006,0.0,0.01476224999999979,61.13480000000001,0.0,3.0,27.0
"InChI=1S/C11H14N2O4/c12-10(14)16-6-9(7-17-11(13)15)8-4-2-1-3-5-8/h1-5,9H,6-7H2,(H2,12,14)(H2,13,15)",6.0,17.0,11.0,6.0,6.0,1.863299999999999,7.0,2.01,2.326,0.0,3.4718868899999964,61.6183,3.0,4.0,31.0
"InChI=1S/C11H14O2/c1-4-5-9-6-7-10(12-2)11(8-9)13-3/h4,6-8H,1,5H2,2-3H3",8.0,13.0,3.0,6.0,6.0,1.2392999999999987,4.0,2.4499999999999997,2.5440000000000005,0.0,1.535864489999997,57.9245,3.0,0.0,27.0
"InChI=1S/C11H16N4O4/c16-8-4-14(5-9(17)12-8)2-1-3-15-6-10(18)13-11(19)7-15/h1-7H2,(H,12,16,17)(H,13,18,19)",5.0,20.0,3.0,0.0,0.0,-2.7482000000000006,4.0,1.79,-1.4019999999999995,0.0,7.552603240000003,62.815799999999996,3.0,2.0,35.0
"InChI=1S/C11H17F3N6O/c12-11(13,14)7-17-10(16)18-9-4-6-20(19-9)5-2-1-3-8(15)21/h4,6H,1-3,5,7H2,(H2,15,21)(H3,16,17,18,19)",9.0,21.0,9.0,0.0,0.0,-0.7292000000000016,9.0,1.5699999999999998,1.8589999999999995,0.0,0.5317326400000024,64.28930000000001,5.0,5.0,38.0
"InChI=1S/C11H17N3O4/c1-12-10-3-2-9(8-11(10)14(17)18)13(4-6-15)5-7-16/h2-3,8,12,15-16H,4-7H2,1H3",11.0,18.0,7.0,6.0,6.0,-1.1626999999999994,7.0,1.9,0.9779999999999998,0.0,1.3518712899999985,67.6974,2.0,3.0,35.0
"InChI=1S/C11H8N2O5/c12-11(14)8(9-2-1-5-17-9)6-7-3-4-10(18-7)13(15)16/h1-6H,(H2,12,14)",18.0,19.0,5.0,10.0,10.0,0.30169999999999986,4.0,1.9,1.637,0.0,0.09102288999999991,60.9112,3.0,2.0,26.0
"InChI=1S/C11H9N3/c12-10-6-5-8-7-3-1-2-4-9(7)13-11(8)14-10/h1-6H,(H3,12,13,14)",14.0,16.0,0.0,9.0,10.0,0.5065999999999998,0.0,2.34,2.101,0.0,0.2566435599999998,58.44480000000001,0.0,3.0,23.0
"InChI=1S/C12H10Cl2N2/c13-9-5-7(1-3-11(9)15)8-2-4-12(16)10(14)6-8/h1-6H,15-16H2",14.0,17.0,0.0,12.0,12.0,0.7595999999999997,1.0,2.3400000000000003,1.5560000000000005,0.0,0.5769921599999995,76.0034,0.0,2.0,26.0
"InChI=1S/C12H10ClNO/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,14H2",14.0,16.0,0.0,12.0,12.0,0.9310999999999996,2.0,2.45,1.8260000000000005,0.0,0.8669472099999992,70.4521,0.0,1.0,25.0
"InChI=1S/C12H10FN/c13-11-5-1-9(2-6-11)10-3-7-12(14)8-4-10/h1-8H,14H2",13.0,15.0,0.0,12.0,12.0,1.1286999999999998,1.0,2.56,1.4320000000000002,0.0,1.2739636899999995,63.14900000000001,0.0,1.0,24.0
"InChI=1S/C12H10N2O/c15-14-12-8-6-11(7-9-12)13-10-4-2-1-3-5-10/h1-9,13H",15.0,16.0,1.0,12.0,12.0,1.0227000000000002,3.0,2.45,1.5480000000000007,0.0,1.0459152900000004,64.63759999999999,0.0,1.0,25.0
"InChI=1S/C12H11Cl2NO/c1-4-12(2,3)15-11(16)8-5-9(13)7-10(14)6-8/h1,5-7H,2-3H3,(H,15,16)",9.0,16.0,8.0,6.0,6.0,3.2226000000000012,2.0,2.3400000000000003,2.781,0.0,10.385150760000007,69.17670000000001,4.0,1.0,27.0
"InChI=1S/C12H11ClN2O5S/c13-9-5-10(15-6-7-2-1-3-20-7)8(12(16)17)4-11(9)21(14,18)19/h1-5,15H,6H2,(H,16,17)(H2,14,18,19)",14.0,22.0,4.0,11.0,11.0,-1.0885000000000007,5.0,1.7900000000000003,0.14700000000000008,0.0,1.1848322500000015,80.30609999999999,0.0,3.0,32.0
"InChI=1S/C12H11N/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,13H2",13.0,14.0,0.0,12.0,12.0,1.2188999999999999,1.0,2.6700000000000004,2.3709999999999996,0.0,1.4857172099999998,63.0212,0.0,1.0,24.0
"InChI=1S/C12H11N/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H,13H2",13.0,14.0,0.0,12.0,12.0,1.2188999999999999,1.0,2.6700000000000004,2.1599999999999997,0.0,1.4857172099999998,63.0212,0.0,1.0,24.0
"InChI=1S/C12H11N3/c1-7-12-8-4-2-3-5-9(8)15-10(12)6-11(13)14-7/h2-6,15H,1H3,(H2,13,14)",14.0,17.0,0.0,9.0,10.0,0.043200000000000155,0.0,2.45,2.17,0.0,0.0018662400000000134,64.7919,0.0,3.0,26.0
"InChI=1S/C12H11N3/c1-7-6-9-8-4-2-3-5-10(8)14-12(9)15-11(7)13/h2-6H,1H3,(H3,13,14,15)",14.0,17.0,0.0,9.0,10.0,1.0597000000000005,0.0,2.45,2.2819999999999996,0.0,1.122964090000001,62.8019,0.0,3.0,26.0
"InChI=1S/C12H11N7/c13-9-7(6-4-2-1-3-5-6)16-8-10(14)18-12(15)19-11(8)17-9/h1-5H,(H6,13,14,15,17,18,19)",19.0,21.0,0.0,6.0,6.0,-0.6636999999999998,1.0,2.0100000000000002,1.4929999999999999,0.0,0.4404976899999998,71.6449,0.0,5.0,30.0
"InChI=1S/C12H12N2/c1-3-7-11(8-4-1)13-14-12-9-5-2-6-10-12/h1-10,13-14H",14.0,15.0,2.0,12.0,12.0,1.0724000000000005,3.0,2.56,2.3760000000000003,0.0,1.150041760000001,67.167,0.0,2.0,26.0
"InChI=1S/C12H12N2/c13-11-5-1-9(2-6-11)10-3-7-12(14)8-4-10/h1-8H,13-14H2",14.0,15.0,0.0,12.0,12.0,0.022199999999999775,1.0,2.56,0.8240000000000003,0.0,0.0004928399999999901,66.57100000000001,0.0,2.0,26.0
"InChI=1S/C12H12N2O/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",15.0,16.0,0.0,12.0,12.0,-0.6343000000000003,2.0,2.45,0.7570000000000002,0.0,0.4023364900000004,69.2857,0.0,2.0,27.0
"InChI=1S/C12H12N2O2/c13-9-3-1-7(5-11(9)15)8-2-4-10(14)12(16)6-8/h1-6,15-16H,13-14H2",16.0,17.0,0.0,12.0,12.0,-1.1040000000000003,1.0,2.3400000000000003,1.098,0.0,1.2188160000000008,69.78200000000001,0.0,4.0,28.0
"InChI=1S/C12H12N2O3/c1-2-12(8-6-4-3-5-7-8)9(15)13-11(17)14-10(12)16/h3-7H,2H2,1H3,(H2,13,14,15,16,17)",8.0,18.0,2.0,6.0,6.0,0.08419999999999939,2.0,2.2300000000000004,2.1109999999999993,0.0,0.007089639999999896,64.2021,2.0,2.0,29.0
